id	item_id	item_type_id	serial_number	owner	register_number	model	manufacturer	place_id	situation_id	acquisition_date	maintenance_date	calibration_date	observation
1	3	12	408604	PNBOIA	57	M700 SERIES	Carmanah	1	1				Necessita troca de baterias e teste
2	3	12	316761	PNBOIA	60	M700 SERIES	Carmanah	1	1				Necessita troca de baterias e teste
3	3	12	325237	PNBOIA	73	M700 SERIES	Carmanah	1	1				Necessita troca de baterias e teste
4	3	12	410010	PNBOIA	72	M700 SERIES	Carmanah	1	1				Necessita troca de baterias e teste
5	3	12	325126	PNBOIA	71	M700 SERIES	Carmanah	1	1				Necessita troca de baterias e teste
6	3	12	334618	PNBOIA	61	M700 SERIES	Carmanah	1	1				Avariada
7	3	8	88880	PNBOIA	10	50103	RM YOUNG	2	0				AVARIADO
8	3	8	108365	PNBOIA	11	50103	RM YOUNG	2	1				Necessário realizar teste
9	3	8	108362	PNBOIA	12	50103	RM YOUNG	2	0				AVARIADO
10	3	8	136747	PNBOIA	168	50103	RM YOUNG	2	1				Necessário realizar teste
11	3	8	137810	PNBOIA	14	50103	RM YOUNG	2	0				AVARIADO
12	3	8	98381	PNBOIA	167	50103	RM YOUNG	2	1				Necessário realizar teste
13	3	8	136107	PNBOIA	15	50103	RM YOUNG	2	1				Necessário realizar teste
14	3	8	131114	PNBOIA	16	50103	RM YOUNG	2	1				Necessário realizar teste
15	3	8	82104	PNBOIA	17	50103	RM YOUNG	2	1				Necessário realizar teste
16	3	8	103396	PNBOIA	18	50103	RM YOUNG	2	1			12/08/2020	Necessário realizar teste
17	3	8	103394	PNBOIA	19	50103	RM YOUNG	2	1			12/08/2020	Necessário realizar teste
18	3	8	116288	PNBOIA	20	50103	RM YOUNG	2	0				AVARIADO
19	3	8	108367	PNBOIA	21	50103	RM YOUNG	2	1				Necessário realizar teste
20	3	8	76018	PNBOIA	22	MODELO ANTIGO	RM YOUNG	2	1				MODELO ANTIGO
21	3	8	130767	PNBOIA	169	50103	RM YOUNG	2	1				
22	3	8	136747	PNBOIA	170	50103	RM YOUNG	2	1				
23	3	9	61441777	PNBOIA	29	MP101A	ROTRONIC	2	0				Mal funcionamento. OUT2018
24	3	9	61441800	PNBOIA	43	MP101A	ROTRONIC	2	0				Avariado
25	3	9	61441772	PNBOIA	37	MP101A	ROTRONIC	2	0				Mal funcionamento. OUT2018
26	3	9	61441780	PNBOIA	26	MP101A	ROTRONIC	2	0				Mal funcionamento. OUT2018
27	3	9	61251843	PNBOIA	36	MP101A	ROTRONIC	2	0				Avariado
28	3	9	60308704	PNBOIA	38	MP101A	ROTRONIC	2	0				Avariado
29	3	9	60494894	PNBOIA	42	MP101A	ROTRONIC	2	0				Avariado
30	3	9	148784	PNBOIA	48	MP101A	ROTRONIC	2	1			12/08/2020	Necessário realizar teste
31	3	9	60424709	PNBOIA	41	MP101A	ROTRONIC	2	0				Mal funcionamento
32	3	9	61441799	PNBOIA	27	MP101A	ROTRONIC	2	1				Necessário realizar teste
33	3	9	61441791	PNBOIA	32	MP101A	ROTRONIC	2	1				Necessário realizar teste
34	3	9	61372495	PNBOIA	24	MP101A	ROTRONIC	2	0				Avariado
35	3	9	61251847	PNBOIA	23	MP101A	ROTRONIC	2	1				Necessário realizar teste
36	3	9	61441779	PNBOIA	45	MP101A	ROTRONIC	2	1				Necessário realizar teste
37	3	9	61441797	PNBOIA	44	MP101A	ROTRONIC	2	0				Avariado
38	3	9	61251845	PNBOIA	40	MP101A	ROTRONIC	2	0				Avariado
39	3	9	60424713	PNBOIA	33	MP101A	ROTRONIC	2	0				Avariado
40	3	9	148778	PNBOIA	35	MP101A	ROTRONIC	2	1				Necessário realizar teste (2008)
41	3	9	60494895	PNBOIA	34	MP101A	ROTRONIC	2	1				Necessário realizar teste
42	3	9	61441774	PNBOIA	39	MP101A	ROTRONIC	2	0				Necessário realizar teste
43	3	9	61084078	PNBOIA	25	MP101A	ROTRONIC	2	1				Necessário realizar teste
44	3	9	60348891	PNBOIA	30	MP101A	ROTRONIC	2	1				Necessário realizar teste
45	3	9	61441783	PNBOIA	31	MP101A	ROTRONIC	2	1				Necessário realizar teste
46	3	9	61441776	PNBOIA	28	MP101A	ROTRONIC	2	0				Avariado
47	3	10	19520	PNBOIA	50	TR-1060	RBR	2	1				
48	3	10	19524	PNBOIA	51	TR-1060	RBR	2	1				
49	3	10	19519	PNBOIA	49	TR-1060	RBR	2	1				
50	3	11	1785	PNBOIA	53	FLNTUS	WETLABS	2	1				AVARIADO
51	3	11	1784	PNBOIA	52	FLNTUS	WETLABS	2	1				AVARIADO
52	3	17	TAS 02530	PNBOIA	110	TRIAXYS G1	AXYS	2	1				
53	3	17	TAS 04590	PNBOIA	161	TRIAXYS G1	AXYS	2	1				
54	3	17	TAS 02100	PNBOIA	174	TRIAXYS G1	AXYS	2	1				
55	3	17	TAS 02610	PNBOIA	173	TRIAXYS G1	AXYS	2	1				
56	3	17	TAS 05411	PNBOIA	172	TRIAXYS G1	AXYS	2	1				
57	4	22	631536	PNBOIA	162		L3 COMMUNICATIONS	2	1				
58	4	22	696156	PNBOIA	163		L3 COMMUNICATIONS	2	1				
59	4	22	631533	PNBOIA	164		L3 COMMUNICATIONS	2	1				
60	4	22	945494	PNBOIA	171		L3 COMMUNICATIONS	2	1				
61	4	22	655445	PNBOIA	181		L3 COMMUNICATIONS	2	1				
62	3	12	1560009723	PNBOIA	65	M660	Carmanah	3	1				Regarregada em 03SET19
63	3	12	1560009727	PNBOIA	63	M660	Carmanah	3	1				Regarregada em 03SET19
64	3	12	1560009731	PNBOIA	66	M660	Carmanah	3	1				Regarregada em 03SET19
65	3	12	1560009728	PNBOIA	70	M660	Carmanah	3	1				Regarregada em 03SET19
66	3	12	1560009726	PNBOIA	69	M660	Carmanah	3	1				Regarregada em 03SET19
67	3	12	1560009724	PNBOIA	67	M660	Carmanah	3	1				Regarregada em 03SET19
68	3	12	1560009722	PNBOIA	64	M660	Carmanah	3	1				
69	3	12	408449	PNBOIA	58	M700 SERIES	Carmanah	3	1				
70	3	12	408618	PNBOIA	55	M700 SERIES	Carmanah	3	1				
71	3	12	1360028046	PNBOIA	56	M850 SERIES	Carmanah	3	1				
72	3	12	312109	PNBOIA	54	M700 SERIES	Carmanah	3	1				Necessita troca de baterias e teste
73	3	12	408452	PNBOIA	62	M700 SERIES	Carmanah	3	1				Necessita troca de baterias e teste
74	3	12	325259	PNBOIA	59	M700 SERIES	Carmanah	3	1				Necessita troca de baterias e teste
75	3	12	S/N	PNBOIA	74	M700 SERIES	Carmanah	3	1				Necessita troca de baterias e teste
76	3	13	A4730018	PNBOIA	86	PTB101B	VAISALA	3	1			01/11/2005	
77	3	13	S0320003	PNBOIA	88	PTB100A	VAISALA	3	1				
78	3	13	B3910014	PNBOIA	87	PTB101B	VAISALA	3	1			01/09/2006	
79	3	13	E4740004	PNBOIA	84	PTB110	VAISALA	3	1			12/08/2020	
80	3	13	H0530005	PNBOIA	81	PTB110	VAISALA	3	1				
81	3	13	E4740006	PNBOIA	75	PTB110	VAISALA	3	1			01/11/2009	
82	3	13	F1450074	PNBOIA	79	PTB110	VAISALA	3	1			01/04/2010	
83	3	13	F2610001	PNBOIA	78	PTB110	VAISALA	3	1			01/06/2010	
84	3	13	BPA 7176	PNBOIA	90	61302V	RM YOUNG	3	1				
85	3	13	BPA 7266	PNBOIA	89	61302V	RM YOUNG	3	1				
86	3	13	F0440015	PNBOIA	77	PTB110	VAISALA	3	1			01/02/2010	
87	3	13	D3320078	PNBOIA	80	PTB110	VAISALA	3	1			01/08/2008	
88	3	13	D3320077	PNBOIA	76	PTB110	VAISALA	3	1			01/08/2008	
89	3	13	D3320076	PNBOIA	82	PTB110	VAISALA	3	1			01/08/2008	
90	3	13	H0530004	PNBOIA	83	PTB110	VAISALA	3	1				
91	3	13	F1450075	PNBOIA	6	PTB110	VAISALA	3	1			01/04/2010	
92	3	14	110973	PNBOIA	92	03N65747	ELTA	3	1	09/03/2012			
