id	item_id	item_type
1	1	notebook
2	1	teclado
3	1	mouse
4	1	toughbook
5	1	desktop
6	2	ETIQUETADORA
7	2	MULTÍMETRO DIGITAL 
8	3	ANEMÔMETRO
9	3	termohigrômetro
10	3	temperatura
11	3	FLUORÍMETRO
12	3	LANTERNA
13	3	BARÔMETRO
14	3	TRANSMISSOR ARGOS
15	3	BÚSSOLA
16	3	CORRENTÔMETRO
17	3	ONDÓGRAFO
18	5	Radiation Shield
19	4	SKYWAVE
20	5	CAIXA WTM
21	6	MÓDULO WATCHMAN
22	4	AIS 
23	2	paquímetro
24	2	esmeril
25	2	compressor de ar
26	2	Furadeira
27	2	Carregador de bateriias
28	2	Torno de bancada
29	3	Boia de deriva
