id	item_type_id	serial_number	owner	register_number	model	manufacturer	place_id	situation_id	foto	manual	datasheet	acquisition_date	maintenance_date	calibration_date	observation
1	12	408604	PNBOIA	57	M700 SERIES	Carmanah	1	1	https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSczgK2bnU21-fsKDZ4XVe5jBFMWZFTYQCDqQ&usqp=CAU		http://www.hemvan.com.tw/index.php?module=product&mn=4&f=download&id=50190				Necessita troca de baterias e teste
2	12	316761	PNBOIA	60	M700 SERIES	Carmanah	1	1	https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSczgK2bnU21-fsKDZ4XVe5jBFMWZFTYQCDqQ&usqp=CAU		http://www.hemvan.com.tw/index.php?module=product&mn=4&f=download&id=50190				Necessita troca de baterias e teste
3	12	325237	PNBOIA	73	M700 SERIES	Carmanah	1	1	https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSczgK2bnU21-fsKDZ4XVe5jBFMWZFTYQCDqQ&usqp=CAU		http://www.hemvan.com.tw/index.php?module=product&mn=4&f=download&id=50190				Necessita troca de baterias e teste
4	12	410010	PNBOIA	72	M700 SERIES	Carmanah	1	1	https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSczgK2bnU21-fsKDZ4XVe5jBFMWZFTYQCDqQ&usqp=CAU		http://www.hemvan.com.tw/index.php?module=product&mn=4&f=download&id=50190				Necessita troca de baterias e teste
5	12	325126	PNBOIA	71	M700 SERIES	Carmanah	1	1	https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSczgK2bnU21-fsKDZ4XVe5jBFMWZFTYQCDqQ&usqp=CAU		http://www.hemvan.com.tw/index.php?module=product&mn=4&f=download&id=50190				Necessita troca de baterias e teste
6	12	334618	PNBOIA	61	M700 SERIES	Carmanah	1	1	https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSczgK2bnU21-fsKDZ4XVe5jBFMWZFTYQCDqQ&usqp=CAU		http://www.hemvan.com.tw/index.php?module=product&mn=4&f=download&id=50190				Avariada
7	8	88880	PNBOIA	10	50103	RM YOUNG	2	0	http://www.youngusa.com/catalog/images/05103_edit.gif	http://www.youngusa.com/Manuals/05103-90(M).pdf	http://www.youngusa.com/Brochures/05103(0106).pdf				AVARIADO
8	8	108365	PNBOIA	11	50103	RM YOUNG	2	1	http://www.youngusa.com/catalog/images/05103_edit.gif	http://www.youngusa.com/Manuals/05103-90(M).pdf	http://www.youngusa.com/Brochures/05103(0106).pdf				Necessário realizar teste
9	8	108362	PNBOIA	12	50103	RM YOUNG	2	0	http://www.youngusa.com/catalog/images/05103_edit.gif	http://www.youngusa.com/Manuals/05103-90(M).pdf	http://www.youngusa.com/Brochures/05103(0106).pdf				AVARIADO
10	8	136747	PNBOIA	168	50103	RM YOUNG	2	1	http://www.youngusa.com/catalog/images/05103_edit.gif	http://www.youngusa.com/Manuals/05103-90(M).pdf	http://www.youngusa.com/Brochures/05103(0106).pdf				Necessário realizar teste
11	8	137810	PNBOIA	14	50103	RM YOUNG	2	0	http://www.youngusa.com/catalog/images/05103_edit.gif	http://www.youngusa.com/Manuals/05103-90(M).pdf	http://www.youngusa.com/Brochures/05103(0106).pdf				AVARIADO
12	8	98381	PNBOIA	167	50103	RM YOUNG	2	1	http://www.youngusa.com/catalog/images/05103_edit.gif	http://www.youngusa.com/Manuals/05103-90(M).pdf	http://www.youngusa.com/Brochures/05103(0106).pdf				Necessário realizar teste
13	8	136107	PNBOIA	15	50103	RM YOUNG	2	1	http://www.youngusa.com/catalog/images/05103_edit.gif	http://www.youngusa.com/Manuals/05103-90(M).pdf	http://www.youngusa.com/Brochures/05103(0106).pdf				Necessário realizar teste
14	8	131114	PNBOIA	16	50103	RM YOUNG	2	1	http://www.youngusa.com/catalog/images/05103_edit.gif	http://www.youngusa.com/Manuals/05103-90(M).pdf	http://www.youngusa.com/Brochures/05103(0106).pdf				Necessário realizar teste
15	8	82104	PNBOIA	17	50103	RM YOUNG	2	1	http://www.youngusa.com/catalog/images/05103_edit.gif	http://www.youngusa.com/Manuals/05103-90(M).pdf	http://www.youngusa.com/Brochures/05103(0106).pdf				Necessário realizar teste
16	8	103396	PNBOIA	18	50103	RM YOUNG	2	1	http://www.youngusa.com/catalog/images/05103_edit.gif	http://www.youngusa.com/Manuals/05103-90(M).pdf	http://www.youngusa.com/Brochures/05103(0106).pdf			12/08/2020	Necessário realizar teste
17	8	103394	PNBOIA	19	50103	RM YOUNG	2	1	http://www.youngusa.com/catalog/images/05103_edit.gif	http://www.youngusa.com/Manuals/05103-90(M).pdf	http://www.youngusa.com/Brochures/05103(0106).pdf			12/08/2020	Necessário realizar teste
